MONAD-ABSTRACTION-LIB v1
A0[A33[C0,C0,V0,C0,V1,V1,V1,C0,C0,C0,C0]]	M	9	46	12015	0	0:C3;1:C8|0:C1;1:C2|0:C4;1:C2|0:C2;1:C2|0:C4;1:C8|0:C5;1:C8|0:C3;1:C1|0:C1;1:C8
A0[A33[V0,V0,V1,V2,V3,V3,V3,C0,C0,C0,C0]]	M	5	16	0	0	0:C0;1:C3;2:C0;3:C8|0:C1;1:C4;2:C2;3:C0|0:C0;1:C1;2:C0;3:C2|0:C0;1:C5;2:C0;3:C8|0:C0;1:C2;2:C0;3:C2|0:C0;1:C1;2:C0;3:C8|0:C0;1:C3;2:C0;3:C1
A0[A6[],A6[],A12[V0,V1,C0]]	M	3	134	12017	4	0:C6;1:C3|0:C3;1:C6|0:C5;1:C6|0:C4;1:C6|0:C9;1:C3|0:C4;1:C3|0:C1;1:C3|0:C2;1:C3|0:C3;1:C3|0:C6;1:C6
A0[A6[],A6[],A12[V0,V1,V2]]	M	1	122	12013	0	0:C6;1:C3;2:C0|0:C3;1:C6;2:C2|0:C3;1:C6;2:C0|0:C6;1:C3;2:C2|0:C8;1:C6;2:C2|0:C3;1:C6;2:C4|0:C9;1:C3;2:C0|0:C4;1:C3;2:C0|0:C1;1:C3;2:C0|0:C2;1:C3;2:C0|0:C5;1:C6;2:C0|0:C4;1:C6;2:C0
A0[A6[],A6[],A12[C6,C3,V0]]	M	5	6	12014	0	0:C0|0:C2
A0[A33[V0,V1,V2,V3,V4,V5,C0,C0,C0,C0,C0]]	M	1	4	0	0	0:C0;1:C0;2:C0;3:C3;4:C2;5:C1|0:C2;1:C1;2:C3;3:C0;4:C0;5:C0
A0[A33[C0,C0,V0,V1,C2,V2,V3,C0,C0,C0,C0]]	M	5	6	0	0	0:C0;1:C3;2:C1;3:C0|0:C1;1:C0;2:C2;3:C2|0:C4;1:C0;2:C2;3:C2
A0[A33[V0,V0,V1,V2,V3,V4,C0,C0,C0,C0,C0]]	M	3	4	0	0	0:C0;1:C0;2:C3;3:C2;4:C1|0:C1;1:C4;2:C2;3:C0;4:C0
A0[A6[],A6[],A12[C3,C6,V0]]	M	5	8	12014	0	0:C0|0:C2|0:C4
A0[A43[]]	M	2	8	12013	0	
A0[A1[C3],A14[V0,C1,V1,V2,C4,C5,C6,C7,C8,C9]]	M	8	4	12015	0	0:C3;1:C2;2:C2|0:C0;1:C0;2:C3
A0[A33[V0,V1,V2,C0,V3,V3,V3,C0,C0,C0,C0]]	M	5	18	0	0	0:C2;1:C1;2:C3;3:C0|0:C0;1:C0;2:C1;3:C2|0:C0;1:C0;2:C4;3:C8|0:C0;1:C0;2:C5;3:C8|0:C0;1:C0;2:C4;3:C2|0:C0;1:C0;2:C2;3:C2|0:C0;1:C0;2:C1;3:C8
A0[A33[V0,C1,V1,V2,C0,C0,C0,C0,C0,C0,C0]]	M	7	4	12014	0	0:C2;1:C3;2:C0|0:C1;1:C4;2:C2
A0[A6[],A6[],A12[V0,V1,C2]]	M	3	26	12013	0	0:C3;1:C6|0:C6;1:C3|0:C8;1:C6|0:C3;1:C3
A0[A4[V0]]	M	1	36	12012	0	0:C3|0:C2|0:C4|0:C6
A0[A14[C0,C1,C2,C3,C4,C5,V0,V1,C8,C9]]	M	8	46	12015	0	0:C2;1:C7|0:C6;1:C5|0:C0;1:C7|0:C5;1:C7|0:C2;1:C0
A0[A14[C0,C1,C2,C3,C4,V0,V1,C7,V2,C9]]	M	6	24	12014	0	0:C5;1:C2;2:C8|0:C8;1:C6;2:C5|0:C5;1:C0;2:C8|0:C5;1:C5;2:C8
A0[A14[C0,C1,C2,C3,C4,V0,C6,V1,V2,C9]]	M	6	4	12014	0	0:C5;1:C5;2:C8|0:C8;1:C7;2:C5
A0[A21[V0]]	M	1	248	12012	0	0:C3|0:C1|0:C2|0:C4|0:C8|0:C5|0:C0|0:C6|0:C7
A0[V0]	M	1	9228	12012	0	0:A27[C0]|0:A1[C4]|0:A37[C3,C0]|0:A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]|0:A14[C0,C5,C6,C4,C3,C1,C2,C7,C9,C8]|0:A22[C0]|0:A18[]|0:A25[C0]|0:A10[]|0:A7[]|0:A12[C3,C3,C2]|0:A16[]
A0[A27[C0]]	M	3	6	10841	0	
A0[A1[C4]]	M	3	6	10841	0	
A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]	M	13	20	10843	0	
A0[A33[V0,V0,C2,V1,V2,V3,V3,C0,C0,C0,C0]]	M	5	10	0	0	0:C1;1:C3;2:C4;3:C0|0:C0;1:C0;2:C2;3:C2
A0[A14[C0,C5,C6,C4,C3,C1,C2,C7,C9,C8]]	M	12	2	10843	0	
A0[A18[]]	M	2	6	10841	0	
A0[A45[],A6[],A12[V0,C6,C0]]	M	5	4	10842	0	0:C4|0:C0
A0[V0,A6[],A12[C4,V1,C0]]	M	3	2	10841	0	0:A45[];1:C6|0:A6[];1:C3
A0[V0,A6[],A12[C4,C6,C0]]	M	5	2	10842	0	0:A45[]|0:A6[]
A0[A33[C0,C0,V0,C0,C8,C8,C8,C0,C0,C0,C0]]	M	11	24	10843	0	0:C3|0:C4|0:C5|0:C1
A0[A33[C0,C0,C3,C0,V0,V0,V0,C0,C0,C0,C0]]	M	11	2	10843	0	0:C8|0:C1
A0[A6[],A6[],A12[V0,C3,C0]]	M	5	196	10842	0	0:C6|0:C3|0:C9|0:C4|0:C1|0:C2
A0[A6[],A6[],A12[V0,C3,V1]]	M	3	208	10841	0	0:C6;1:C0|0:C3;1:C2|0:C6;1:C2|0:C3;1:C0|0:C9;1:C0|0:C4;1:C0|0:C1;1:C0|0:C2;1:C0
A0[A6[],A6[],A12[C6,V0,C0]]	M	5	6	10842	0	0:C3|0:C6
A0[A33[C0,C0,V0,V1,C2,V2,V0,C0,C0,C0,C0]]	M	7	2	10843	0	0:C0;1:C3;2:C1|0:C2;1:C0;2:C2
A0[A33[C0,C0,V0,V1,V2,C1,V3,C0,C0,C0,C0]]	M	5	2	0	0	0:C0;1:C3;2:C2;3:C0|0:C3;1:C0;2:C1;3:C1
A0[A6[],A6[],A12[C3,V0,C0]]	M	5	16	10842	0	0:C6|0:C3
A0[A6[],A6[],A12[V0,C6,C0]]	M	5	24	10842	0	0:C3|0:C5|0:C6|0:C4
A0[A6[],A6[],A12[C3,V0,V1]]	M	3	64	10841	0	0:C6;1:C0|0:C3;1:C2|0:C6;1:C2|0:C3;1:C0|0:C6;1:C4
A0[A6[],A6[],A12[V0,C6,V1]]	M	3	34	10841	0	0:C3;1:C0|0:C8;1:C2|0:C3;1:C2|0:C5;1:C0|0:C6;1:C0|0:C4;1:C0|0:C3;1:C4
A0[A9[],A44[]]	M	3	6	10841	0	
A0[A6[],A6[],A12[C3,V0,C2]]	M	5	16	10842	0	0:C6|0:C3
A0[A6[],A6[],A12[V0,C6,C2]]	M	5	2	10842	0	0:C3|0:C8
A0[A9[],A27[C0]]	M	4	6	10841	0	
A0[A4[C3]]	M	3	6	10841	0	
A0[A33[C0,C0,V0,C0,C2,C2,C2,C0,C0,C0,C0]]	M	11	6	10843	0	0:C1|0:C4|0:C2
A0[A33[C0,C0,C1,C0,V0,V0,V0,C0,C0,C0,C0]]	M	11	2	10843	0	0:C2|0:C8
A0[A14[C0,C1,C2,C3,C4,C5,V0,C7,C8,C9]]	M	10	38	10843	0	0:C2|0:C0|0:C5
A0[A14[C0,C1,C2,C3,C4,C5,C2,V0,C8,C9]]	M	10	2	10843	0	0:C7|0:C0
A0[A4[C2]]	M	3	2	10841	0	
A0[A6[],A6[],A12[V0,C3,C2]]	M	5	32	10842	0	0:C6|0:C3
A0[A6[],A6[],A12[C6,V0,V1]]	M	3	12	10841	0	0:C3;1:C2|0:C6;1:C0
A0[A6[],A6[],A12[C6,C3,C2]]	M	7	2	10843	0	
A0[A12[C2,C2,C2]]	M	5	6	10842	0	
A0[A14[C0,C1,C2,C3,C4,V0,V1,V2,V3,C9]]	M	4	2	0	0	0:C8;1:C6;2:C7;3:C5|0:C5;1:C2;2:C0;3:C8
A0[A21[C3]]	M	3	12	10841	0	
A0[A33[V0,V0,C4,V1,V2,V2,V2,C0,C0,C0,C0]]	M	7	8	10880	37	0:C1;1:C2;2:C0|0:C0;1:C0;2:C8|0:C0;1:C0;2:C2
A0[A9[],A4[C2]]	M	4	2	10841	0	
A0[A21[C1]]	M	3	6	10841	0	
A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]	M	12	72	10843	0	
A0[A45[],A6[],A12[C0,C6,C0]]	M	7	2	10842	0	
A0[A6[],A6[],A12[C3,C3,C0]]	M	7	56	10842	0	
A0[A6[],A6[],A12[C3,C3,V0]]	M	5	128	10842	0	0:C0|0:C2
A0[A6[],A6[],A12[V0,V0,C0]]	M	5	48	10914	73	0:C3|0:C6
A0[A33[C0,C0,C4,C0,V0,V0,V0,C0,C0,C0,C0]]	M	11	6	10843	0	0:C8|0:C2
A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]	M	13	6	10843	0	
A0[A6[],A6[],A12[C4,V0,C0]]	M	5	2	10841	0	0:C3|0:C6
A0[A12[C4,C4,C2]]	M	5	30	10841	0	
A0[A1[C2]]	M	3	12	10841	0	
A0[A35[C1]]	M	3	2	10841	0	
A0[A6[],A6[],A12[C1,C3,C0]]	M	7	20	10842	0	
A0[A6[],A6[],A12[C3,C3,C2]]	M	7	56	10842	0	
A0[A6[],A6[],A12[V0,V0,V1]]	M	3	48	10841	0	0:C3;1:C2|0:C6;1:C0
A0[A21[C4]]	M	3	6	10841	0	
A0[A21[C8]]	M	3	2	10841	0	
A0[A6[],A6[],A12[C6,C6,C0]]	M	7	6	10842	0	
